Fecha Hora;Dem Hoy;Dem Ayer;Dem Sem Ant;Predespacho;Redespacho
27/03/2020 00:05;14376,67;14105,78;14083,31;13789;13789
27/03/2020 00:10;14341,14;14039,18;14006,53;13771;13771
27/03/2020 00:15;14263,58;13947,42;13855,12;13752;13752
27/03/2020 00:20;14182,27;13905,63;13852,6;13733;13733
27/03/2020 00:25;14100,26;13833,48;13723,57;13714;13714
27/03/2020 00:30;14027,29;13743,6;13555,28;13696;13696
27/03/2020 00:35;13969,97;13646,66;13501,8;13677;13677
27/03/2020 00:40;13887,94;13598,67;13391,73;13658;13658
27/03/2020 00:45;13791,18;13532,88;13275,34;13639;13639
27/03/2020 00:50;13722,16;13449,65;13204,91;13621;13621
27/03/2020 00:55;13663,56;13378,02;13102,09;13602;13602
27/03/2020 01:00;13564,61;13301,32;13053,89;13583;13583
27/03/2020 01:05;13496,95;13224,95;13012,07;13508;13508
27/03/2020 01:10;13423,87;13150,57;12870,6;13434;13434
27/03/2020 01:15;13353,63;13091,08;12836,84;13359;13359
27/03/2020 01:20;13275,04;13050,35;12741,36;13284;13284
27/03/2020 01:25;13213,61;12997,96;12649,28;13209;13209
27/03/2020 01:30;13144,78;12985,2;12588,02;13135;13135
27/03/2020 01:35;13130,43;12928,26;12551,96;13060;13060
27/03/2020 01:40;13053,4;12845,72;12437,29;12985;12985
27/03/2020 01:45;12968,76;12782,35;12438,07;12910;12910
27/03/2020 01:50;12929,36;12749,73;12337,12;12836;12836
27/03/2020 01:55;12861,06;12703,42;12325,08;12761;12761
27/03/2020 02:00;12807,98;12627,54;12244,48;12686;12686
27/03/2020 02:05;12776,29;12600,9;12145,34;12651;12651
27/03/2020 02:10;12709,41;12534,63;12109,89;12615;12615
27/03/2020 02:15;12674,26;12494,29;12072,39;12580;12580
27/03/2020 02:20;12627,02;12476,84;12032;12545;12545
27/03/2020 02:25;12515,76;12411,48;11939,79;12509;12509
27/03/2020 02:30;12452,94;12381,57;11912,87;12474;12474
27/03/2020 02:35;12480,57;12294,22;11900,55;12439;12439
27/03/2020 02:40;12446,53;12218,32;11876,56;12403;12403
27/03/2020 02:45;12435,65;12247,28;11833,99;12368;12368
27/03/2020 02:50;12421,67;12236,65;11791,78;12333;12333
27/03/2020 02:55;12351,65;12195,38;11770,42;12297;12297
27/03/2020 03:00;12324,93;12171,7;11742,22;12262;12262
27/03/2020 03:05;12329,44;12139,36;11682,43;12243;12243
27/03/2020 03:10;12300,69;12116,9;11702,38;12225;12225
27/03/2020 03:15;12249,24;12108,86;11687,4;12207;12207
27/03/2020 03:20;12234,66;12075,44;11652,75;12188;12188
27/03/2020 03:25;12187,64;12057,52;11612,67;12170;12170
27/03/2020 03:30;12145,09;12045,73;11579,29;12151;12151
27/03/2020 03:35;12119,72;12011,89;11539,79;12133;12133
27/03/2020 03:40;12103,35;11996,83;11547,47;12114;12114
27/03/2020 03:45;12058,61;11981,61;11526,13;12096;12096
27/03/2020 03:50;12034,52;11949,5;11511,96;12078;12078
27/03/2020 03:55;11978,36;11934,21;11461,46;12059;12059
27/03/2020 04:00;11976,48;11932,59;11481,01;12041;12041
27/03/2020 04:05;11996,16;11919,59;11446,1;12031;12031
27/03/2020 04:10;11967,25;11902,52;11452,59;12022;12022
27/03/2020 04:15;11960,67;11889,28;11503,31;12013;12013
27/03/2020 04:20;11946,62;11873,75;11442,89;12003;12003
27/03/2020 04:25;11910,86;11879,87;11435,31;11994;11994
27/03/2020 04:30;11915,32;11850,12;11412,5;11984;11984
27/03/2020 04:35;11891,16;11842,68;11595,31;11975;11975
27/03/2020 04:40;11897,44;11820,52;11562,2;11966;11966
27/03/2020 04:45;11885,34;11791,89;11543,27;11956;11956
27/03/2020 04:50;11877,98;11774,23;11597,79;11947;11947
27/03/2020 04:55;11871,09;11794,81;11596,14;11937;11937
27/03/2020 05:00;11878,31;11790,19;11600,49;11928;11928
27/03/2020 05:05;11893,19;11815,64;11552,33;11919;11919
27/03/2020 05:10;11919,34;11840,51;11536,84;11909;11909
27/03/2020 05:15;11897,46;11827,62;11572;11900;11900
27/03/2020 05:20;11890,63;11815,72;11563,91;11890;11890
27/03/2020 05:25;11908,22;11794,31;11583,64;11880;11880
27/03/2020 05:30;11875,28;11796,17;11560,48;11871;11871
27/03/2020 05:35;11889,26;11801,84;11665,15;11861;11861
27/03/2020 05:40;11893,56;11787,83;11627,33;11852;11852
27/03/2020 05:45;11884,92;11789,55;11648,05;11842;11842
27/03/2020 05:50;11922,54;11766,42;11626,78;11833;11833
27/03/2020 05:55;11894,41;11791,8;11679,6;11823;11823
27/03/2020 06:00;11931,72;11801,15;11671,79;11814;11814
27/03/2020 06:05;11990,82;11823,14;11705,95;11821;11821
27/03/2020 06:10;12019,35;11836,45;11750,07;11829;11829
27/03/2020 06:15;12038,97;11796,07;11788,83;11836;11836
27/03/2020 06:20;11975,56;11761,03;11810,75;11844;11844
27/03/2020 06:25;12024,47;11803,51;11809,19;11851;11851
27/03/2020 06:30;12046,62;11814,47;11811,46;11859;11859
27/03/2020 06:35;12067,49;11928,35;11636,02;11866;11866
27/03/2020 06:40;12095,21;11915,15;11601,99;11874;11874
27/03/2020 06:45;12092,71;11902,12;11554,19;11881;11881
27/03/2020 06:50;12069,7;11896,2;11482,89;11889;11889
27/03/2020 06:55;12019,11;11880,04;11358,82;11896;11896
27/03/2020 07:00;11917,38;11838,51;11184,92;11904;11904
27/03/2020 07:05;11874,2;11748,45;11086,76;11889;11889
27/03/2020 07:10;11838,01;11656,23;11235,77;11874;11874
27/03/2020 07:15;11750,22;11747,71;11263,22;11859;11859
27/03/2020 07:20;11743,06;11708,23;11418,86;11844;11844
27/03/2020 07:25;11660,92;11750,96;11321,36;11830;11830
27/03/2020 07:30;11603,64;11791,26;11270,16;11815;11815
27/03/2020 07:35;11726,11;11739,79;11273,95;11800;11800
27/03/2020 07:40;11651,37;11688,13;11278,12;11785;11785
27/03/2020 07:45;11639,38;11660,61;11417,55;11770;11770
27/03/2020 07:50;11667,18;11761,02;11441,4;11755;11755
27/03/2020 07:55;11664,15;11746,74;11482,82;11740;11740
27/03/2020 08:00;11701,29;11798,37;11551,65;11726;11726
27/03/2020 08:05;11764,93;11842,64;11578,14;11770;11770
27/03/2020 08:10;11630,22;11894,42;11615,22;11815;11815
27/03/2020 08:15;11683,62;11935,33;11674,31;11860;11860
27/03/2020 08:20;11725,86;11993,28;11574,77;11904;11904
27/03/2020 08:25;11750,48;12026,42;11435,79;11949;11949
27/03/2020 08:30;11805,13;12069,83;11526,43;11994;11994
27/03/2020 08:35;11838,31;12134,8;11599,58;12038;12038
27/03/2020 08:40;11893,14;12188,46;11431,4;12083;12083
27/03/2020 08:45;11890,72;12063,27;11492,33;12128;12128
27/03/2020 08:50;11956,41;12117,48;11519,01;12172;12172
27/03/2020 08:55;12029,57;11983,06;11598,87;12217;12217
27/03/2020 09:00;12052,55;12048,95;11727,04;12262;12262
27/03/2020 09:05;12141,51;11983,12;11735,14;12322;12322
27/03/2020 09:10;12184,01;11977,15;11769,35;12383;12383
27/03/2020 09:15;12228,47;12108,08;11903,29;12444;12444
27/03/2020 09:20;12262,96;12138,21;11950,43;12505;12505
27/03/2020 09:25;12299,2;12244,55;12005,57;12565;12565
27/03/2020 09:30;12356,68;12288,21;12044,4;12626;12626
27/03/2020 09:35;12379,26;12313,31;12091,4;12687;12687
27/03/2020 09:40;12416,83;12357,91;12191,62;12748;12748
27/03/2020 09:45;12467,41;12449;12271,82;12808;12808
27/03/2020 09:50;12519,73;12475,94;12316,88;12869;12869
27/03/2020 09:55;12591,14;12514,2;12370,99;12930;12930
27/03/2020 10:00;12602,4;12583,1;12400,86;12991;12991
27/03/2020 10:05;12689,64;12640,78;12445,47;13037;13037
27/03/2020 10:10;12727,07;12682,77;12480,8;13083;13083
27/03/2020 10:15;12753;12722,56;12547,12;13130;13130
27/03/2020 10:20;12753,3;12778,03;12550,24;13176;13176
27/03/2020 10:25;12793,79;12846,51;12486,01;13223;13223
27/03/2020 10:30;12886,06;12866,6;12537,9;13269;13269
27/03/2020 10:35;12871,95;12895,98;12629,89;13316;13316
27/03/2020 10:40;12923,25;12974,32;12744,47;13362;13362
27/03/2020 10:45;13036,46;13081,92;12836,04;13409;13409
27/03/2020 10:50;13125,77;13178,56;12887,65;13455;13455
27/03/2020 10:55;13181,35;13097,12;12930;13502;13502
27/03/2020 11:00;13209,27;13170,81;12961,14;13548;13548
27/03/2020 11:05;13251,69;13214,54;12993,97;13592;13592
27/03/2020 11:10;13331,4;13254,26;13026,28;13636;13636
27/03/2020 11:15;13355,36;13281,5;13053,96;13679;13679
27/03/2020 11:20;13399,31;13345,41;13114,4;13723;13723
27/03/2020 11:25;13439,35;13390,33;13176,42;13767;13767
27/03/2020 11:30;13496,62;13442,35;13211,64;13811;13811
27/03/2020 11:35;13592,62;13498,24;13255,31;13854;13854
27/03/2020 11:40;13641,12;13558,5;13325,1;13898;13898
27/03/2020 11:45;13693,74;13595,44;13339,36;13942;13942
27/03/2020 11:50;13712,93;13642,02;13381,84;13985;13985
27/03/2020 11:55;13712,38;13683,04;13457,51;14029;14029
27/03/2020 12:00;13762,83;13747,03;13501,14;14073;14073
27/03/2020 12:05;13836,47;13804,04;13534,47;14103;14103
27/03/2020 12:10;13911,99;13901,27;13602,5;14133;14133
27/03/2020 12:15;13975,58;13957,96;13616,86;14163;14163
27/03/2020 12:20;14041,04;13999,13;13638,46;14192;14192
27/03/2020 12:25;14060,81;14068,77;13681,54;14222;14222
27/03/2020 12:30;14084,51;14105,97;13752,82;14252;14252
27/03/2020 12:35;14138,31;14081,58;13754,98;14282;14282
27/03/2020 12:40;14200,85;14180,17;13832,52;14312;14312
27/03/2020 12:45;14238,82;14164,8;13900,51;14342;14342
27/03/2020 12:50;14300,91;14275,68;13925,4;14372;14372
27/03/2020 12:55;14329,94;14290,49;13956,57;14402;14402
27/03/2020 13:00;14362,1;14321,76;13953,73;14432;14432
27/03/2020 13:05;14418,76;14380,64;14019,73;14443;14443
27/03/2020 13:10;14468,59;14448,17;14057,63;14455;14455
27/03/2020 13:15;14504,93;14467,22;14112,88;14467;14467
27/03/2020 13:20;14520,72;14457,23;14087,18;14478;14478
27/03/2020 13:25;14549,67;14478,38;14120,67;14490;14490
27/03/2020 13:30;14550,53;14515,67;14150,43;14501;14501
27/03/2020 13:35;14386,61;14540,15;14147,66;14513;14513
27/03/2020 13:40;14369,41;14539,27;14132,97;14525;14525
27/03/2020 13:45;14410,47;14542,36;14155,58;14536;14536
27/03/2020 13:50;14398,97;14559,8;14119,02;14548;14548
27/03/2020 13:55;14393,75;14575,39;14156,69;14559;14559
27/03/2020 14:00;14437,49;14580,25;14139,23;14571;14571
27/03/2020 14:05;14538,77;14559,45;14107,4;14571;14571
27/03/2020 14:10;14530,71;14570,61;14125,59;14571;14571
27/03/2020 14:15;14495,1;14625,22;14123,29;14570;14570
27/03/2020 14:20;14509,41;14625,15;14117,3;14570;14570
27/03/2020 14:25;14508,56;14601,5;14113,82;14570;14570
27/03/2020 14:30;14503,02;14594,38;14132,15;14570;14570
27/03/2020 14:35;14510,47;14597,18;14152,07;14570;14570
27/03/2020 14:40;14524,8;14586,3;14121,64;14570;14570
27/03/2020 14:45;14529,82;14563,31;14138,56;14570;14570
27/03/2020 14:50;14506,03;14568,44;14140,89;14569;14569
27/03/2020 14:55;14484,45;14555,87;14092,6;14569;14569
27/03/2020 15:00;14536,71;14505,56;14006,6;14569;14569
27/03/2020 15:05;14531,75;14481,8;14007,56;14561;14561
27/03/2020 15:10;14502,73;14493,97;14015,72;14553;14553
27/03/2020 15:15;14511,36;14542,5;14058,25;14545;14545
27/03/2020 15:20;14517,69;14586,89;14168,7;14537;14537
27/03/2020 15:25;14554,69;14551,48;14164,75;14529;14529
27/03/2020 15:30;14563,23;14569,89;14148;14521;14521
27/03/2020 15:35;14571,62;14548,52;14133,5;14513;14513
27/03/2020 15:40;14572,56;14575,74;14129,47;14505;14505
27/03/2020 15:45;14539,17;14543,19;14143,81;14497;14497
27/03/2020 15:50;14561,31;14546,83;14161,57;14489;14489
27/03/2020 15:55;14550,9;14538,72;14162,86;14482;14482
27/03/2020 16:00;14537,34;14526,76;14178,85;14474;14474
27/03/2020 16:05;14556,5;14509,72;14193,36;14480;14480
27/03/2020 16:10;14567,96;14515,21;14243,56;14487;14487
27/03/2020 16:15;14592,64;14483,54;14226,58;14494;14494
27/03/2020 16:20;14615,22;14480,26;14231,1;14500;14500
27/03/2020 16:25;14637,49;14472,64;14252,93;14507;14507
27/03/2020 16:30;14604,65;14487,87;14242,1;14514;14514
27/03/2020 16:35;14654,72;14479,9;14257,72;14520;14520
27/03/2020 16:40;14660,11;14461,33;14237,58;14527;14527
27/03/2020 16:45;14626,38;14455,43;14265,06;14534;14534
27/03/2020 16:50;14613,15;14488,6;14276,1;14541;14541
27/03/2020 16:55;14633,99;14471,96;14311,31;14547;14547
27/03/2020 17:00;14602,28;14487,73;14298,84;14554;14554
27/03/2020 17:05;14610,38;14479,09;14322,61;14553;14553
27/03/2020 17:10;14606,02;14471,13;14329,67;14553;14553
27/03/2020 17:15;14623,45;14466,15;14339,01;14552;14552
27/03/2020 17:20;14623,09;14464,85;14347,72;14552;14552
27/03/2020 17:25;14632,22;14437,67;14331,63;14551;14551
27/03/2020 17:30;14593,2;14417,33;14299,04;14551;14551
27/03/2020 17:35;14573,07;14385,18;14326,33;14550;14550
27/03/2020 17:40;14595,91;14370,42;14338,09;14549;14549
27/03/2020 17:45;14590,45;14371,17;14325,32;14549;14549
27/03/2020 17:50;14572,89;14316,76;14311,57;14548;14548
27/03/2020 17:55;14523,37;14278,49;14281,78;14548;14548
27/03/2020 18:00;14525,91;14254,91;14270,02;14547;14547
27/03/2020 18:05;14514,74;14245,54;14256,79;14574;14574
27/03/2020 18:10;14531,56;14248;14220,73;14601;14601
27/03/2020 18:15;14548,41;14236,99;14252,89;14628;14628
27/03/2020 18:20;14529,61;14279,49;14262,62;14656;14656
27/03/2020 18:25;14597,36;14278,31;14245,06;14683;14683
27/03/2020 18:30;14620,7;14320,28;14253,97;14710;14710
27/03/2020 18:35;;14315,96;14212,81;14737;14737
27/03/2020 18:40;;14342,64;14232,51;14764;14764
27/03/2020 18:45;;14345,74;14310,98;14791;14791
27/03/2020 18:50;;14409,05;14292,66;14818;14818
27/03/2020 18:55;;14623,84;14336,1;14846;14846
27/03/2020 19:00;;14753,07;14349,13;14873;14873
27/03/2020 19:05;;14968,78;14471,79;15028;15028
27/03/2020 19:10;;15256,62;14598,04;15182;15182
27/03/2020 19:15;;15500,73;14765,67;15337;15337
27/03/2020 19:20;;15717,44;14995,11;15492;15492
27/03/2020 19:25;;15865,9;15216,55;15647;15647
27/03/2020 19:30;;15992,96;15406,13;15802;15802
27/03/2020 19:35;;16145,08;15663,36;15956;15956
27/03/2020 19:40;;16274,26;15826,08;16111;16111
27/03/2020 19:45;;16441,79;15990,75;16266;16266
27/03/2020 19:50;;16515,64;16134,24;16421;16421
27/03/2020 19:55;;16538,64;16229;16576;16576
27/03/2020 20:00;;16587,19;16351,67;16730;16730
27/03/2020 20:05;;16633,47;16367,85;16747;16747
27/03/2020 20:10;;16686,08;16454,85;16763;16763
27/03/2020 20:15;;16714,15;16470,21;16780;16780
27/03/2020 20:20;;16721,66;16510,33;16796;16796
27/03/2020 20:25;;16716,26;16514,24;16813;16813
27/03/2020 20:30;;16745,01;16525,86;16829;16829
27/03/2020 20:35;;16746,3;16554,66;16846;16846
27/03/2020 20:40;;16744,38;16550,58;16862;16862
27/03/2020 20:45;;16754,44;16541,18;16879;16879
27/03/2020 20:50;;16746,85;16484,13;16895;16895
27/03/2020 20:55;;16716,33;16477,64;16911;16911
27/03/2020 21:00;;16693,13;16441,1;16928;16928
27/03/2020 21:05;;16627,73;16366,25;16884;16884
27/03/2020 21:10;;16573,25;16344,63;16839;16839
27/03/2020 21:15;;16553,12;16275,96;16795;16795
27/03/2020 21:20;;16498,34;16259,3;16751;16751
27/03/2020 21:25;;16494,17;16171,17;16707;16707
27/03/2020 21:30;;16457,92;16117,91;16662;16662
27/03/2020 21:35;;16395,58;16051,77;16618;16618
27/03/2020 21:40;;16350,83;16006,18;16574;16574
27/03/2020 21:45;;16275,76;15891,72;16530;16530
27/03/2020 21:50;;16204,81;15830,55;16485;16485
27/03/2020 21:55;;16091,3;15774,97;16441;16441
27/03/2020 22:00;;16011,69;15679,46;16397;16397
27/03/2020 22:05;;15969,04;15598,29;16320;16320
27/03/2020 22:10;;15891,49;15518,58;16244;16244
27/03/2020 22:15;;15893,47;15458,46;16168;16168
27/03/2020 22:20;;15802,09;15394,41;16091;16091
27/03/2020 22:25;;15774,9;15295,49;16015;16015
27/03/2020 22:30;;15689,54;15214,52;15938;15938
27/03/2020 22:35;;15639,81;15144,43;15862;15862
27/03/2020 22:40;;15568,65;15119,28;15786;15786
27/03/2020 22:45;;15509,59;15029,27;15709;15709
27/03/2020 22:50;;15451,14;14919,32;15633;15633
27/03/2020 22:55;;15339,2;14873,2;15556;15556
27/03/2020 23:00;;15306,61;14802,77;15480;15480
27/03/2020 23:05;;15218,9;14708,65;15376;15376
27/03/2020 23:10;;15167,28;14602,86;15273;15273
27/03/2020 23:15;;15088,63;14546,37;15169;15169
27/03/2020 23:20;;15011,24;14474;15066;15066
27/03/2020 23:25;;14973,28;14286,83;14962;14962
27/03/2020 23:30;;14889,26;14247,45;14858;14858
27/03/2020 23:35;;14817,34;14165,36;14755;14755
27/03/2020 23:40;;14762,44;14166,12;14651;14651
27/03/2020 23:45;;14671,85;14152,29;14548;14548
27/03/2020 23:50;;14593,8;14102,64;14444;14444
27/03/2020 23:55;;14552,64;14008,92;14340;14340
28/03/2020 00:00;;14457,14;13881,98;14237;14237
